Date,Description
1982,"In response to terrorist attacks on northern towns, Israel invaded Lebanon as far north as Beirut on 6 June 1982. In 1985, Israel withdrew from most of Lebanon but maintained a 'security zone' along the border until 2000, policed by Israeli soldiers and members of the South Lebanese army."
1987,"During the early 1980s, the establishment of Jewish settlements on Palestinian land continued systematically. In 1987, the Palestinians in the West Bank and Gaza launched the intifada (popular uprising) against Israeli occupation."
1993,"The Oslo accords were agreed, which provided for mutual recognition between the PLO and the state of Israel, and limited Palestinian self rule in the West Bank and Gaza. Jordan signed a peace deal with Israel"
2000,"Attempts to reach a final settlement at Camp David hosted by Bill Clinton, with Yasser Arafat and Israeli prime minister Ehud Barak failed. The summit foundered on sovereignty over that part of the old city of Jerusalem known as the Temple Mount to Jews and Noble Sanctuary to Muslims. Ariel Sharon, leader of the rightwing Likud, meanwhile visited it escorted by 1,000 police. Designed to underscore Israeli sovereignty, the visit sparked violent demonstrations. The second Intifada began."
2002,"A suicide bomber killed 29 Israelis at a seaside hotel in the bloodiest single attack in the second Intifada. Israel isolated Arafat in his compound, called up military reserves and re-occupied wide areas of West Bank where Palestinians had gained self-rule under the Oslo accords. Israel began building its West Bank barrier. George Bush, who urged Palestinians to replace Arafat, outlined a 'road map' to a Palestinian state. Key elements included a stop to Palestinian attacks and a dismantlement of Israeli settlements built since March 2001."
2003,US-backed Mahmoud Abbas became the Palestinian prime minister.
2004,"Israel assassinated Sheikh Ahmed Yassin, co-founder of Hamas in Gaza City. Yassin’s successor, Abdel Aziz al-Rantissi, was killed in similar missile strike a month later. Arafat died on 11 November. Mahmoud Abbas succeeded him as PLO chairman and won election as president on platform of halting violence and making peace with Israel."
2005,"Sharon and Abbas announced a ceasefire (with Abbas persuading militant factions to observe an informal calm at least until the end of 2005). Violence subsides. Israel completed an evacuation of 15,000 Jewish settlers from Gaza - after 38 years of occupation - but Palestinian rocket salvoes from Gaza followed, prompting renewed Israeli air strikes. Sharon left Likud and formed Kadima, a new party that was intended to give him a freer hand to deal with the Palestinians."
2006.1,"The political landscape changed in both Israel and the Palestinian territories. Sharon was in a coma after a massive brain haemorrhage, his powers transferring to Ehud Olmert. Hamas then trounced Fatah in parliamentary elections. The two eventually formed an uneasy (and short-lived) coalition with Hamas' Ismail Haniyeh as PM and Fatah's Abbas as president. Israel refused to deal with it, citing Hamas' non-recognition of Israel."
2006.7,"Israel fought Hizbullah in a month-long war that caused at least 1,100 Lebanese and 156 Israeli deaths. The conflict began when Hizbullah ambushed, killed and kidnapped members of a patrol on the Israeli side of the border. The official Israeli commission that investigated it said it ended without a 'defined military victory'."
2007,"The Fatah-Hamas coalition collapsed when Hamas took control of Gaza in bloody battles that left hundreds dead. Israel declared it a 'hostile territory' and cut fuel and electricity supplies. The political and territorial split - which continiues to this day - means Hamas controls Gaza while Fatah under Abbas controls the West Bank. In the US, Bush hosted a Middle East peace conference in Annapolis, Maryland. It was first US attempt in seven years to broker a deal."
2008,"Hamas-controlled and Israel-blockaded Gaza was subjected to two major offensives following rocket attacks on southern Israel. The first, in February 2008, killed more than 120 Palestinians; the second, in December 2008 and January 2009, left more than 1,300 Palestinians and 13 Israelis dead before a ceasefire was agreed. The next month Binyamin Netanyahu's Likud won the general election and went into coalition with extreme rightwinger Avigdor Lieberman and Ehud Barak of Labour. New US president Barack Obama and secretary of state Hillary Clinton made efforts to find an Israeli-Palestinian peace."
